员工编号,工资期间,基本工资,固定补贴,本期奖金,税前应发,模拟收款账户
E1001,2026-08,42000,1800,6000,49800,SIM-ACCOUNT-E1001
E1002,2026-08,30000,1200,3500,34700,SIM-ACCOUNT-E1002
E1003,2026-08,26000,1000,2000,29000,SIM-ACCOUNT-E1003
E1004,2026-08,24000,800,2500,27300,SIM-ACCOUNT-E1004
E1005,2026-08,38000,2000,8000,48000,SIM-ACCOUNT-E1005
E1006,2026-08,34000,1600,4000,39600,SIM-ACCOUNT-E1006
E1007,2026-08,28000,1200,2500,31700,SIM-ACCOUNT-E1007
E1008,2026-08,22000,800,1800,24600,SIM-ACCOUNT-E1008
E1009,2026-08,25000,1000,2200,28200,SIM-ACCOUNT-E1009
E1010,2026-08,20000,800,1800,22600,SIM-ACCOUNT-E1010
E1011,2026-08,32000,1000,2800,35800,SIM-ACCOUNT-E1011
E1012,2026-08,23000,1200,2000,26200,SIM-ACCOUNT-E1012
